的	〔白勹丶 · unid〕
𠗜	〔冫耳刂 · wqpd〕
𠗝	〔冫爫㇒士 · wytg〕
𠗞	〔冫宀疋 · wwts〕
𠗟	〔冫兔 · wwt〕
𠗠	〔冫子皿 · wham〕
𠗡	〔冫爫木 · wyem〕
𠗢	〔冫巛月刂 · wovp〕
𠗣	〔冫侖 · wjl〕
𠗤	〔冫彳丶王 · wwin〕
𠗥	〔冫音 · wxy〕
𠗦	〔冫马廾 · wnlc〕
𠗧	〔冫貝刂 · wopd〕
𠗨	〔冫廿㇗木 · wlae〕
𠗩	〔冫日丨 · wogi〕
𠗪	〔冫衣口 · wtdk〕
𠗫	〔冫⺈大 · wxmm〕
𠗬	〔冫戶 · wmty〕
𠗭	〔冫士寸 · wrgk〕
𠗮	〔冫㇗ · wzha〕
𠗯	〔冫白水 · wuks〕
𠗰	〔冫王人彡 · wnje〕
𠗱	〔冫戊𮍌 · wnqc〕
𠗲	〔月丷夫⺀ · vhhw〕
𠗳	〔冫䒑 · whbc〕
𠗴	〔冫龴囗 · wkrg〕
𠗵	〔冫冖方 · wiwl〕
𠗶	〔冫广肀口 · wxbd〕
𠗷	〔冫丶阝 · wiit〕
𠗸	〔冫工貝 · wuob〕
𠗹	〔冫歹刂灬 · wgpc〕
𠗺	〔冫禾夕夕 · wxll〕
𠗻	〔冫臣又土 · wqrg〕
𠗼	〔冫戊⺊小 · wnyy〕
𠗽	〔冫羽人彡 · wzje〕
𠗾	〔冫大乂乂 · wmbb〕
𠗿	〔冫厶厶彡 · wkke〕
𠘀	〔日夂⺀ · ohwb〕
𠘁	〔冫立口阝 · widt〕
𠘂	〔冫束欠 · wxeq〕
𠘃	〔冫千里力 · wlds〕
𠘄	〔冫人丶攵 · wjih〕
𠘅	〔冫人亠禸 · wjzv〕
𠘆	〔冫木木木 · weee〕
𠘇	〔冫身舟 · wzio〕
𠘈	〔冫尸子子 · wchh〕
𠘉	〔冫日小 · wogy〕
𠘊	〔冫曲辰 · wyfc〕
𠘋	〔冫目 · wqaa〕
𠘌	〔冫一田一 · wfqf〕
𠘍	〔冫⺊囗木 · wyre〕
𠘎	〔冫亼囗曰 · wjro〕
𠘏	〔冫罒木木 · wyee〕
𠘐	〔冫亠囗一 · wzrf〕
𠘑	〔冫臣己灬 · wqvc〕
𠘒	〔冫龶⺝舟 · wavi〕
𠘓	〔冫阝攵生 · wthl〕
𠘔	〔冫馬𡭔丿 · wnyt〕
𠘕	〔冫巳灬 · wqvc〕
𠘖	〔冫斤斤貝 · wtto〕
𠘗	〔日宀⺀ · owqw〕
𠘘	〔冫亠目大 · wzqm〕
𠘙	〔冫白幺木 · wuie kiue〕
𠘚	〔冫麻手 · wzus〕
𠘛	〔冫广黃 · wxnh〕
𠘜	〔冫鳥攵 · wxhp〕
𠘝	〔冫束⺈貝 · wxxo〕
𠘞	〔冫士示氺 · wgfk〕
𠘟	〔冫厂禾止 · wxxs〕
𠘠	〔冫衣罒水 · wtyk〕
𠘡	〔冫广亠禾 · wxzx〕
𠘢	〔冫⺊囗舟 · wyri〕
𠘣	〔冫爫罒寸 · wyyk〕
𠘤	〔冫匕矢水 · wvok〕
𠘥	〔冫口口攵 · wddh〕
𠘦	〔冫丿虫皿 · wtca〕
𠘧	〔𠘧 · oj〕
𠘨	〔几 · oj〕
𠘩	〔匕几 · voj〕
𠘪	〔几九 · okj〕
𠘫	〔几又 · ory〕
𠘬	〔几几 · ooj〕
𠘭	〔厶几 · koj〕
𠘮	〔㐅几 · boj〕
𠘯	〔几厶 · oks〕
𠘰	〔几㐅 · obi〕
𠘱	〔几彡 · oes〕
𠘲	〔一几几 · fooj〕
𠘳	〔几山 · ovs〕
𠘴	〔几千 · olq〕
𠘵	〔几䒑ㄅ · ohae〕
𠘶	〔不几 · coj〕
𠘷	〔勹一几乙 · nfoa〕
𠘸	〔丿几 · tsoj〕
𠘹	〔丨几三 · gots〕
𠘺	〔几 · boj〕
𠘻	〔几丶几丶 · oioi〕
𠘼	〔几屮凵 · osmk〕
𠘽	〔⺌凵几 · ymoj〕
𠘾	〔几土厶 · ogks〕
𠘿	〔力几 · ssoj〕
𠙀	〔夕⺋几 · lzoj〕
𠙁	〔一止几 · fsoj〕
𠙂	〔几口八 · odhb〕
𠙃	〔厶厶一几 · kkfo〕
𠙄	〔几千凵 · olmk〕
𠙅	〔几立 · oil〕
𠙆	〔㐅𠂇厶几 · bnko〕
𠙇	〔六乂几 · aboj〕
𠙈	〔几缶 · oaf〕
𠙉	〔臣几 · qoj〕
𠙊	〔几一日 · ofor〕
𠙋	〔丿㠯几 · tkoj〕
𠙌	〔几羊 · ogy〕
𠙍	〔几虫 · occ〕
𠙎	〔丿未几 · taoj〕
𠙏	〔㐅𠂇口几 · bndo〕
𠙐	〔〢冖几 · bpwo〕
𠙑	〔止夕几 · sloj〕
𠙒	〔几一貝 · ofob〕
𠙓	〔土白几 · guoj〕
𠙔	〔几白工 · ouug〕
𠙕	〔几屮凵口 · osmd〕
𠙖	〔冫馬几 · wnoj〕
𠙗	〔几一大巛 · ofmo〕
𠙘	〔几丷册 · ohic〕
𠙙	〔爪冂人几 · ymjo〕
𠙚	〔夂几 · zhoj〕
𠙛	〔工几几 · buoo〕
𠙜	〔土几丶 · ggoi〕
𠙝	〔丩寸几 · ivko〕
𠙞	〔覀女几 · vboj〕
𠙟	〔六乂攵几 · abho〕
𠙠	〔人人人几 · jjjo〕
𠙡	〔幺白又几 · iuro〕
𠙢	〔艸𠂇又几 · lnro〕
𠙣	〔几罒土厶 · oygk〕
𠙤	〔几扌立女 · ouib〕
𠙥	〔冫馬几 · wnoj〕
𠙦	〔火火冖丶 · ccwi〕
𠙧	〔白コ几 · uuno〕
𠙨	〔廿夕几 · llao〕
𠙩	〔一白丶 · fuai afui〕
𠙪	〔丿大口几 · tmdo〕
𠙫	〔曲豆几 · yzoj〕
𠙬	〔几幺幺虫 · oiic〕
𠙭	〔巛一㐅几 · ofbo〕
𠙮	〔尸口辛丶 · cdni〕
𠙯	〔廿白几 · luao lauo〕
𠙰	〔亠乡隹丶 · ziui〕
𠙱	〔尸口辛丶 · cdni〕
𠙲	〔几几⽾氺 · ooak〕
𠙳	〔言糹糹几 · siio〕
𠙴	〔𠙴 · mk〕
𠙵	〔一凵 · fmk〕
𠙷	〔十凵 · nmk〕
𠙸	〔厶凵 · kmk〕
𠙹	〔丿𠀆 · tus〕
𠙺	〔千凵 · lmk〕
𠙻	〔干凵 · emk〕
𠙼	〔口凵 · dmk〕
𠙽	〔士凵 · gmk〕
𠙾	〔凵 · amk〕
𠙿	〔凵一凵 · mfmk〕
𠚀	〔大丶凵 · mimk〕
𠚁	〔八乂凵 · hbmk〕
𠚂	〔丿土凵 · tgmk〕
𠚃	〔一口凵 · fdmk〕
𠚄	〔人人凵 · jjmk〕
𠚅	〔八厶凵 · hkmk〕
𠚆	〔一丨 · mfgs〕
𠚇	〔一冂人凵 · fmjm〕
𠚈	〔石凵 · mmk〕
𠚉	〔禾凵 · xmk〕
𠚊	〔心丿凵 · htmk〕
𠚋	〔巛凵 · oumk〕
𠚌	〔士口凵 · gdmk〕
𠚍	〔凵 · pmk〕
𠚎	〔口井凵 · dqmk〕
𠚏	〔千人人凵 · ljjm〕
𠚐	〔屮凵木 · smem〕
𠚑	〔一自凵 · fomk〕
𠚒	〔𠚒 · lc〕
𠚓	〔士口又凵 · gdrm〕
𠚔	〔龴一亼凵 · kfjm〕
𠚕	〔人人一凵 · jjfm〕
𠚖	〔王凵 · nmk〕
𠚗	〔𠂉了口凵 · erdm〕
𠚘	〔爫臼凵 · ypmk〕
𠚙	〔口一㐅巾 · dfbr〕
𠚚	〔了乛水凵 · rakm〕
𠚛	〔土凵土凵 · gmgm〕
𠚜	〔爫臼凵 · ypmk〕
𠚝	〔⺊囗又凵 · yrrm〕
𠚞	〔爫貝凵 · yomk〕
𠚟	〔千口冖凵 · ldwm〕
𠚠	〔日勹止凵 · onsm〕
𠚡	〔爫臼凵 · ypmk〕
𠚢	〔罒糹隹凵 · yium〕
𠚣	〔𠚣 · pd〕
𠚤	〔⺈丶 · xid〕
𠚥	〔刀刂 · ppd〕
𠚦	〔刀厶 · pks〕
𠚧	〔二刂 · mpd〕
𠚨	〔丩刀 · ipd〕
𠚩	〔卜刂 · ypd〕
𠚪	〔刀刀 · ppd〕
𠚫	〔又刂 · rpd〕
𠚬	〔卜刀 · ypd〕
𠚭	〔勹一刂 · nfpd〕
𠚮	〔刀𠂉乙 · peai〕
𠚯	〔一儿刂 · fppd〕
𠚰	〔女刂 · bpd〕
𠚱	〔⺊乙刀 · yapd〕
𠚲	〔刀 · lpd〕
𠚳	〔广刂 · xpd〕
𠚴	〔巛刂 · opd〕
𠚵	〔及刂 · cpd〕
𠚶	〔扌刂 · upd〕
𠚷	〔一巾刂 · frpd〕
𠚸	〔勹厶刂 · nkpd〕
𠚹	〔殳刂 · rpd〕
𠚺	〔𡭔丿刂 · ytpd〕
𠚻	〔𠂉㇆㇀刂 · eafp〕
𠚼	〔八刀刂 · hppd〕
𠚽	〔支刂 · cpd〕
𠚾	〔牙刂 · lpd〕
𠚿	〔又又刂 · rrpd〕
𠛀	〔八厶刂 · hkpd〕
𠛁	〔片刂 · apd〕
𠛂	〔刀刂 · phpd〕
𠛃	〔龵刂 · upd〕
𠛄	〔乂乂刂 · bbpd〕
𠛅	〔匸㐅刂 · nbpd〕
𠛆	〔乌刂 · xpd〕
𠛇	〔刀丶大 · pimd〕
𠛈	〔八乂刀 · hbpd〕
𠛉	〔丰刂 · apd〕
𠛊	〔氏刂 · bpd〕
𠛋	〔巴刂 · mpd〕
𠛌	〔冖刂 · wppd〕
𠛍	〔方刂 · lpd〕
𠛎	〔句刂 · gpd〕
𠛏	〔厶巛刂 · kopd〕
𠛐	〔未刂 · apd〕
𠛑	〔亠幺刂 · zipd〕
𠛒	〔瓜刂 · ypd〕
𠛓	〔卯刂 · bpd〕
𠛔	〔𠂔刂 · tpd〕
𠛕	〔山刀刂 · vppd〕
𠛖	〔一勹刂 · fnep〕
𠛗	〔大厶刂 · mkpd〕
𠛘	〔大乃刂 · mvpd〕
𠛙	〔匕刂 · avpd〕
𠛚	〔又巾刂 · rrpd〕
𠛛	〔亼刂 · jvpd〕
𠛜	〔井丶刂 · qipd〕
𠛝	〔井刀丶 · qpid〕
𠛞	〔大丷刀 · mhpd〕
𠛟	〔十廾刂 · nlpd〕
𠛠	〔夕⺋刂 · lzpd〕
𠛡	〔心丿刂 · htpd〕
𠛢	〔乍刂 · wpd〕
𠛣	〔日一刂 · ofpd〕
𠛤	〔⺊口刀 · ydpd〕
𠛥	〔一冂人刂 · fmjp〕
𠛦	〔丿尤刂 · topd〕
𠛧	〔冂人人刂 · mjjp〕
𠛨	〔⽾刂 · apd〕
𠛩	〔糸刂 · ipd〕
𠛪	〔儿冫刂 · pwwp〕
𠛫	〔夕夕刂 · llpd〕
𠛬	〔干刂 · eepd〕
𠛭	〔囗大刂 · rmpd〕
𠛮	〔人王刂 · jnpd〕
𠛯	〔⺊一巾刂 · yfrp〕
𠛰	〔冎刂 · fpd〕
𠛱	〔巛夕刂 · olpd〕
𠛲	〔亼⺊一刂 · jyfp〕
𠛳	〔亥刀 · kpd〕
𠛴	〔夂小刂 · hypd〕
𠛵	〔艮刂 · ipd〕
𠛶	〔八文刂 · hvpd〕
𠛷	〔亻二冫刂 · jmwp〕
𠛸	〔口丨八刀 · dghp〕
𠛹	〔册刂 · ipd〕
𠛺	〔刀 · apd〕
𠛻	〔丿𠂇巾刂 · tnrp〕
𠛼	〔䒑廾刂 · hlpd〕
𠛽	〔口刀 · udpd〕
𠛾	〔尸㇏⺀刂 · ciwp〕
𠛿	〔虫刂 · cpd〕
𠜀	〔七木刂 · repd〕
𠜁	〔大弓刂 · mbpd〕
𠜂	〔刂 · ipd〕
𠜃	〔臼刂 · ppd〕
𠜄	〔丿皿刂 · tapd〕
𠜅	〔六乂刂 · abpd〕
𠜆	〔衣刂 · tpd〕
𠜇	〔亠阝人刂 · ztjp〕
𠜈	〔聿刂 · bpd〕
𠜉	〔乛水一刂 · akfp〕
𠜊	〔巛月刂 · ovpd〕
𠜋	〔人ヿ土刂 · jagp〕
𠜌	〔⺈冂⺈冂 · xmxm〕
𠜍	〔冖二儿刂 · wmpp〕
𠜎	〔⺧儿刂 · qppd〕
𠜏	〔口巾刂 · drpd〕
𠜐	〔⺊刂 · yipd〕
𠜑	〔八口儿刂 · hdpp〕
𠜒	〔車刂 · ypd〕
𠜓	〔犭火刀 · mcpd〕
𠜔	〔⺊一一刂 · yffp〕
𠜕	〔千曰刂 · lopd〕
𠜖	〔爫寸刂 · ykpd〕
𠜗	〔㐅𠂇巾刂 · bnrp〕
𠜘	〔冖又刂 · bwrp〕
𠜙	〔甫刂 · npd〕
𠜚	〔井土刂 · qgpd〕
𠜛	〔冂八口刂 · mhdp〕
𠜜	〔氏口刂 · bdpd〕
𠜝	〔工斤刂 · utpd〕
𠜞	〔八刀且 · hpfq〕
𠜟	〔囗水刂 · rkpd〕
𠜠	〔囗木刂 · repd〕
𠜡	〔亡八乂刀 · fhbp〕
𠜢	〔广犬刂 · xmpd〕
𠜣	〔禾刂刀 · xppd〕
𠜤	〔土土刀丶 · ggpi〕
𠜥	〔車刀 · ypd〕
𠜦	〔刀冂古 · pmcg〕
𠜧	〔⺈尸儿刀 · xcpp〕
𠜨	〔亥刀丶 · kpid〕
𠜩	〔乚土土刂 · aggp〕
𠜪	〔⺈田刂 · xqpd〕
𠜫	〔千刂 · lkpd〕
𠜬	〔亻日一刀 · jofp〕
𠜭	〔刀扌冖 · puwp〕
𠜮	〔𠂉母刂 · ekpd〕
𠜯	〔⺧口刂 · qdpd〕
𠜰	〔⺈尸儿刀 · xcpp〕
𠜱	〔白丿十刂 · utnp〕
𠜲	〔一刂 · fcpd〕
𠜳	〔月月刂 · vvpd〕
𠜴	〔田木刂 · qepd〕
𠜵	〔丰刀人 · apnj〕
𠜶	〔止止刂 · sspd〕
𠜷	〔⺊日匕刂 · yovp〕
𠜸	〔厶厶厶刂 · kkkp〕
𠜹	〔目大刂 · qmpd〕
𠜺	〔戶犬刂 · mmpd〕
𠜻	〔戈口㇀刂 · pdfp〕
𠜼	〔⺈臼刂 · xppd〕
𠜽	〔乂乂木刂 · bbep〕
𠜾	〔尸屮凵刂 · csmp〕
𠜿	〔山乍刂 · vwpd〕
𠝀	〔山亼刂 · vjvp〕
𠝁	〔未彡刂 · aepd〕
𠝂	〔丷夫八刀 · hhhp〕
𠝃	〔水水刂 · kkpd〕
𠝄	〔爫勹刂 · ynep〕
𠝅	〔⺊日丨刀 · yogp〕
𠝆	〔井王刂 · qnpd〕
𠝇	〔广勹巳刂 · xnvp〕
𠝈	〔用 · bty〕
𠝉	〔彡丿刂 · setp〕
𠝊	〔𠂇又一刂 · nrfp〕
𠝋	〔尸示刂 · cfpd〕
𠝌	〔龴一氺刂 · kfkp〕
𠝍	〔千匕刂 · lavp〕
𠝎	〔⺈門 · xam〕
𠝏	〔亼口人刀 · jdjp〕
𠝐	〔艹亻刂 · ljvp〕
𠝑	〔尸示刂 · cfpd〕
𠝒	〔丶不口刂 · icdp〕
𠝓	〔亻夕夕刂 · jllp〕
𠝔	〔女厶口刀 · bkdp〕
𠝕	〔刀日匕 · povv〕
𠝖	〔龷日刀 · lopd〕
𠝗	〔刀忄日一 · phof〕
𠝘	〔夂田刂 · hqpd〕
𠝙	〔一止刂 · fsxp〕
𠝚	〔廿木刂 · lepd〕
𠝛	〔土厶口刂 · gkdp〕
𠝜	〔龶⺝刂 · avpd〕
𠝝	〔廿㇗木刂 · laep〕
𠝞	〔千臼刂 · lppd〕
𠝟	〔⺿大刂 · lmmp〕
𠝠	〔穴人又刂 · ejrp〕
𠝡	〔广儿冫刂 · xpwp〕
𠝢	〔亼口廾刂 · jdlp〕
𠝣	〔止舟刂 · sipd〕
𠝤	〔千里刂 · ldpd〕
𠝥	〔大土土刂 · mggp〕
𠝦	〔山亻彡刂 · vjep〕
𠝧	〔彐彐一刀 · bbfp〕
𠝨	〔彳㐅木刂 · wbep〕
𠝩	〔丶日刂 · aiop〕
𠝪	〔夂几口刂 · hodp〕
𠝫	〔⺷大刂 · gmpd〕
𠝬	〔宀火又刂 · wcrp〕
𠝭	〔尸䒑廾刂 · chlp〕
𠝮	〔丷豕刂 · hjpd〕
𠝯	〔禾刂勹 · xpne〕
𠝰	〔⺈厂⺋夫 · xxzh〕
𠝱	〔大丷木刂 · mhep〕
𠝲	〔禾日刂 · xopd〕
𠝳	〔宀一日刂 · wfop〕
𠝴	〔冂乂乂刂 · mbbp〕
𠝵	〔丿丿丶 · teti〕
𠝶	〔千艹士刂 · llgp〕
𠝷	〔八刀 · xhpd〕
𠝸	〔予丿攵刀 · ithp〕
𠝹	〔田人刂 · qjpp〕
𠝺	〔甘木刂 · zepd〕
𠝻	〔㇗刂 · zhap〕
𠝼	〔甘木刀 · zepd〕
𠝽	〔刀夕⺋日 · plzo〕
𠝾	〔冂乂乂刂 · mbbp〕
𠝿	〔⺌貝刂 · yopd〕
𠞀	〔穴屮凵刂 · esmp〕
𠞁	〔⺿木冂刂 · lemp〕
𠞂	〔尸辛刂 · cnpd〕
𠞃	〔勹勹刂 · nsnp〕
𠞄	〔⺁虎刂 · xzpd〕
𠞅	〔田儿夊刂 · qphp〕
𠞆	〔烏刂 · xpd〕
𠞇	〔丿囗乂刂 · trbp〕
𠞈	〔⺜羽刂 · ozpd〕
𠞉	〔覀木刂 · vepd〕
𠞊	〔⺶工刂 · gupd〕
𠞋	〔目刂 · qipd〕
𠞌	〔口刂 · bodp〕
𠞍	〔口口勹刂 · ddnp〕
𠞎	〔夕夕灬刂 · llcp〕
𠞏	〔生生刂 · llpd〕
𠞐	〔土刂 · bgpd〕
𠞑	〔文金刂 · vzpd〕
𠞒	〔大丷日刂 · mhop〕
𠞓	〔龶糸刂 · aipd〕
𠞔	〔丿𡭔丿刂 · tytp〕
𠞕	〔千里刀丶 · ldpi〕
𠞖	〔工貝刂 · uopd〕
𠞗	〔土厶土刂 · gkgp〕
𠞘	〔木人氺刂 · ejkp〕
𠞙	〔禾人小刂 · xjyp〕
𠞚	〔夕⺋皿刂 · lzap〕
𠞛	〔户羽刂 · mzpd〕
𠞜	〔巛冂禾刂 · omxp〕
𠞝	〔⺿巛夕刂 · lolp〕
𠞞	〔爫臼刂 · yppd〕
𠞟	〔高刂 · gpd〕
𠞠	〔刀禾丿夫 · pxth〕
𠞡	〔⾻刂 · fpd〕
𠞢	〔王王刀 · npnp pnnp〕
𠞣	〔一冂刂 · qfmp〕
𠞤	〔巛雨刂 · otpd〕
𠞥	〔⿇刂 · zpd〕
𠞦	〔⺿大人刂 · lmjp〕
𠞧	〔⿇刀 · zpd〕
𠞨	〔羽人小刂 · zjyp〕
𠞩	〔亠幺冫刂 · ziwp〕
𠞪	〔龶攵刀 · aphp〕
𠞫	〔口口刂 · ddip〕
𠞬	〔衣儿口刂 · tpdp〕
𠞭	〔女刂 · kobp〕
𠞮	〔大乂乂刂 · mbbp〕
𠞯	〔彐刂 · tbpd〕
𠞰	〔巛田木刀 · oqep〕
𠞱	〔廿口龶刂 · ldap〕
𠞲	〔未攵厂刀 · ahxp〕
𠞳	〔䒑月月刂 · hvvp〕
𠞴	〔人口丶 · jmdi〕
𠞵	〔罒亻戈刂 · yjpp〕
𠞶	〔冂古刂 · imcp〕
𠞷	〔田刂 · bqpd〕
𠞸	〔鳥刂 · xpd〕
𠞹	〔丿米心刂 · tphp〕
𠞺	〔歹刂文口 · gpvd〕
𠞻	〔亠幺冫刀 · ziwp〕
𠞼	〔亼舟刂刂 · jipp〕
𠞽	〔䒑月刂刀 · hvpp〕
𠞾	〔彳金刂 · wzpd〕
𠞿	〔厶厶貝刂 · kkop〕
𠟀	〔刀鳥 · pxn〕
𠟁	〔山金刂 · vzpd〕
𠟂	〔丷囗⺌刂 · hryp〕
𠟃	〔丷酉寸刂 · hykp〕
𠟄	〔厂禾禾刀 · xxxp〕
𠟅	〔⺮至刂 · rypd〕
𠟆	〔夫夫曰刂 · hhop〕
𠟇	〔亠夕㐄刂 · zlvp〕
𠟈	〔㡀攵刀 · fhpd〕
𠟉	〔尸子子刂 · chhp〕
𠟊	〔亼口羽刂 · jdzp〕
𠟋	〔土土土刂 · gggp〕
𠟌	〔⺿立口刂 · lidp〕
𠟍	〔立里刂 · idpd〕
𠟎	〔口口䒑刂 · ddhp〕
𠟏	〔人人人刂 · jjjp〕
𠟐	〔人口 · jmdh〕
𠟑	〔罒言刂 · yspd〕
𠟒	〔力口貝刂 · sdop〕
𠟓	〔匕貝刂 · svop〕
𠟔	〔貝刂 · oipd〕
𠟕	〔耳又木刂 · qrep〕
𠟖	〔亼口月刂 · jdvp〕
𠟗	〔卝冖工刂 · lwup〕
𠟘	〔日冖八刂 · owhp〕
𠟙	〔⻗云刂 · tbpd〕
𠟚	〔⺮土寸刂 · rgkp〕
𠟛	〔金灬刂 · zcpd〕
𠟜	〔土非一刂 · grfp〕
𠟝	〔艹又又刂 · lrrp〕
𠟞	〔止止止刂 · sssp〕
𠟟	〔罒言刂 · yspd〕
𠟠	〔隹刂 · umpd〕
𠟡	〔火火火刂 · cccp〕
𠟢	〔彐工口刂 · budp〕
𠟣	〔幺幺刂 · iinp〕
𠟤	〔羊䒑口刂 · ghdp〕
𠟥	〔小大舌刂 · ymap〕
𠟦	〔王王心刂 · nnhp〕
𠟧	〔⺈厂八刂 · xxhp〕
𠟨	〔亼龴刂 · tjkp〕
𠟩	〔土人人刂 · gjjp〕
𠟪	〔业羊八刂 · cghp〕
𠟫	〔⺊囗人刂 · yrjp〕
𠟬	〔⺮貝刂 · ropd〕
𠟭	〔目刂 · qaap〕
𠟮	〔⺈囗人刂 · xrjp〕
𠟯	〔口口口刂 · dddp〕
𠟰	〔大目目刂 · mqqp〕
𠟱	〔肀八田刂 · bhqp〕
𠟲	〔丿囗丿刂 · trtp〕
𠟳	〔由刀刀干 · dppe〕
𠟴	〔十人人刂 · njjp〕
𠟵	〔虍豕刂 · zjpd〕
𠟶	〔穴尸屮刂 · ecsp〕
𠟷	〔氺田刂 · bkqp〕
𠟸	〔言士口刂 · sgdp〕
𠟹	〔刀予頁 · piwy〕
𠟺	〔而刂 · tlpd〕
𠟻	〔貝貝刂 · oopd〕
𠟼	〔衣罒一刂 · tyfp〕
𠟽	〔⺿宀丰刂 · lwap〕
𠟾	〔巛木刂 · opep〕
𠟿	〔巛木刀 · opep〕
𠠀	〔⺮戈戈刂 · rppp〕
𠠁	〔日幺幺刂 · oiip〕
𠠂	〔彑皿刂 · bjap〕
𠠃	〔人人一刂 · jjfp〕
𠠄	〔走⺌⺼刂 · pyvp〕
𠠅	〔束束刂 · xxpd〕
𠠆	〔亼口口刂 · jddp〕
𠠇	〔卯一刂 · bfcp〕
𠠈	〔⺿人刂 · ljmp〕
𠠉	〔皮頁刂 · rwpd〕
𠠊	〔冂䒑山一 · mhvf〕
𠠋	〔歺又貝刂 · grop〕
𠠌	〔巛刂 · oppd〕
𠠍	〔禾人刂 · xpjp〕
𠠎	〔广黃刂 · xnpd〕
𠠏	〔厂⺿田刂 · xlqp〕
𠠐	〔士乛工丶 · gaui〕
𠠑	〔⺮卩刂 · rizp〕
𠠒	〔麻手刂 · zupd〕
𠠓	〔火火人刂 · ccjp〕
𠠔	〔士罒貝刀 · gyop〕
𠠕	〔艹覀示刂 · lvfp〕
𠠖	〔穴工貝刂 · euop〕
𠠗	〔巛刂 · oppd〕
𠠘	〔大一白刂 · mfup〕
𠠙	〔宀大丷刂 · wmhp〕
𠠚	〔齒刂 · lpd〕
𠠛	〔⻗隹刂 · tupd〕
𠠜	〔火火冖刂 · ccwp〕
𠠝	〔厂禾禾刂 · xxxp〕
𠠞	〔彑虫刂 · bjcp〕
𠠟	〔厂䒑刂 · ixhp〕
𠠠	〔士罒貝丶 · gyoi〕
𠠡	〔日罒勹刂 · oynp〕
𠠢	〔口口刀 · tddp〕
𠠣	〔麻糸刂 · zipd〕
𠠤	〔匕刂 · wvvp〕
𠠥	〔匕刂 · wvvp〕
𠠦	〔一口田田 · fdqq〕
𠠧	〔丿囗刂 · ptrp〕
𠠨	〔耳耳耳刂 · qqqp〕
𠠩	〔田各䒑刂 · qshp〕
𠠪	〔言糹糹刀 · siip〕
𠠫	〔一一刂 · fvfp〕
𠠬	〔⺮亼口刂 · rjdp〕
𠠭	〔衤刀亻曰 · tpjo〕
𠠮	〔尸羊⺶刂 · cggp〕
𠠯	〔田田田刂 · qqqp〕
𠠰	〔⻗隹隹刂 · tuup〕
𠠱	〔口口刂 · tddp〕
𠠲	〔丿力 · tsl〕
𠠳	〔丩力 · isl〕
𠠴	〔力力 · ssl〕
𠠵	〔九力 · ksl〕
𠠶	〔𠂉乙力 · easl〕
𠠷	〔ㄥ儿力 · apsl〕
𠠸	〔丿力 · ntsl〕
𠠹	〔冖力 · wpsl〕
𠠺	〔二儿力 · mpsl〕
𠠻	〔⺁又力 · xrsl〕
𠠼	〔文力 · vsl〕
𠠽	〔火力 · csl〕
𠠾	〔力巴 · smb〕
𠠿	〔厂力力 · xssl〕
𠡀	〔歹力 · gsl〕
𠡁	〔牙力 · lsl〕
𠡂	〔弗力 · tsl〕
𠡃	〔力𠂇工 · snug〕
𠡄	〔皮力 · rsl〕
𠡅	〔牙力 · lsl〕
𠡆	〔亠幺力 · zisl〕
𠡇	〔厶口力 · kdsl〕
𠡈	〔白力 · usl〕
𠡉	〔古力 · csl〕
𠡊	〔大丷力 · mhsl〕
𠡋	〔冂口力 · mdsl〕
𠡌	〔亠ㄥ儿力 · zaps〕
𠡍	〔又土力 · rgsl〕
𠡎	〔日一力 · ofsl〕
𠡏	〔生力 · lsl〕
𠡐	〔力口一ㄅ · sdfa〕
𠡑	〔氵勹丶力 · knis〕
𠡒	〔丿㠯力 · tksl〕
𠡓	〔宀女力 · wbsl〕
𠡔	〔巛一力 · ofps〕
𠡕	〔一八土力 · fhgs〕
𠡖	〔文刂力 · vpsl〕
𠡗	〔臣力 · qsl〕
𠡘	〔力𠂇丨土 · sngg〕
𠡙	〔力木卜 · seyb〕
𠡚	〔一日一力 · fofs〕
𠡛	〔囗大力 · rmsl〕
𠡜	〔儿力 · bpsl〕
𠡝	〔巛夕力 · olsl〕
𠡞	〔白儿力 · upsl〕
𠡟	〔一氺丶力 · fkis〕
𠡠	〔未丷力 · ahsl〕
𠡡	〔歺又力 · grsl〕
𠡢	〔巛歹力 · ogsl〕
𠡣	〔一日力 · fobs〕
𠡤	〔力 · bosl〕
𠡥	〔力 · sthb〕
𠡧	〔文口力 · vdsl〕
𠡨	〔尸毛力 · cvsl〕
𠡩	〔禾刂力 · xpsl〕
𠡪	〔勹田力 · nqsl〕
𠡫	〔氺力 · bksl〕
𠡬	〔亻土土力 · jggs〕
𠡭	〔土儿夊力 · gphs〕
𠡮	〔月月力 · vvsl〕
𠡯	〔一口力 · fdbs〕
𠡰	〔尸屮凵力 · csms〕
𠡱	〔⺌日一力 · yofs〕
𠡲	〔厂儿冫力 · xpws〕
𠡳	〔靣力 · bsl〕
𠡴	〔禾力 · xpsl〕
𠡵	〔牜勹力 · qnes〕
𠡶	〔丷夫力力 · hhss〕
𠡷	〔力力力木 · ssse〕
𠡸	〔一口力 · fdbs〕
𠡹	〔⺊歹又力 · ygrs〕
𠡺	〔土厶阝力 · gkts〕
𠡻	〔勹丶力 · neis〕
𠡼	〔䒑自力 · hosl〕
𠡽	〔亠曰小力 · zoys〕
𠡾	〔龶氺力 · aksl〕
𠡿	〔尸口工力 · cdus〕
𠢀	〔廿力 · lcsl〕
